style;name;color;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;;description
24a463504;split the peak crew;ppa;253;;billabong;men;adult;clothing;fleece_polar;fleece;casual;;;Part of the Ty William Billabong gallery collection^Product Type : Core fit crew sweatshirt^Fabric : 60% COTTON / 40% POLYESTER^Fit : Core^Screen printed art on front and back, flag woven label at bottom hem
24a481502;boundary lite zip;grh;253;;billabong;men;adult;clothing;pullover;full_zip;casual;recycled;;Product Type:Full zip^Additional Features:240gsm polar fleece. Contrast Ripstop at top yoke and hood. Woven Wave pattern Jacquard Tape at chest. Elastic bungee cinch closure at waistband. Front hand pockets. Adventure Division logo labels.
24a481502;boundary lite zip;ssb;253;;billabong;men;adult;clothing;pullover;full_zip;casual;recycled;;Product Type:Full zip^Additional Features:240gsm polar fleece. Contrast Ripstop at top yoke and hood. Woven Wave pattern Jacquard Tape at chest. Elastic bungee cinch closure at waistband. Front hand pockets. Adventure Division logo labels.
24a503501;range adiv ss;blk;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;100% Organic cotton - Light weight 160G 26/1 Jersey,Our premium tees offer a timeless, comfortable core fit,Front and sleeve soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a503501;range adiv ss;gvo;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;100% Organic cotton - Light weight 160G 26/1 Jersey,Our premium tees offer a timeless, comfortable core fit,Front and sleeve soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a503503;sundown adiv ss;dyb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;100% Organic cotton - Light weight 160G 26/1 Jersey,Our premium tees offer a timeless, comfortable core fit,Front and sleeve soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a503503;sundown adiv ss;wht;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;100% Organic cotton - Light weight 160G 26/1 Jersey,Our premium tees offer a timeless, comfortable core fit,Front and sleeve soft hand screen print,Softened with a garment wash,Side seam flag label and interior heat transfer neck label
24a503505;abandon adiv ss;ofw;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Organic 26/1, 160g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a503506;trail adiv ss;mdb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Organic 26/1, 160g short sleeve tee^Additional features: Softhand screen print, heat seal neck label, side seam flag label
24a503507;grow og adiv ss;gvo;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: OG Fit^Organic Cotton, 210g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
