style;color;name;image_url;description;season
UVJWT00156;CAM;MILSPEC STRIPE OVERSHIRT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjwt00156_cam.png;Product Type: Woven Top^Fabric: 55% Cotton, 45% Modal yardage print, 120g^Wash: Garment wash with softener^Fit: Short Sleeve^Closure/Neck: V neck button up front^Branded badge at back neck;251
UVJX100148;BLQ0;FLEUR ONE PIECE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjx100148_blq0.png;Product Type: Printed one piece swimsuit^Fabric: Recycled Nylon Elastane Rib^Coverage: Cheeky coverage^Support: Medium^Padding: Removable^Straps: Adjustable^Print Placement: Print Placement may vary from photo;251
UVJX300151;BLQ0;FLEUR FIXED TRI;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjx300151_blq0.png;Product Type: Bikini top^Fabric: Recycled Nylon^Padding:Removable^Straps:Adjustable straps^Closure:Hook^Print Placement:All over print;251
UVJX300153;WPW;BLURRED DITSY HALTER SLIDE TRI;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjx300153_wpw.png;Product Type: Textured bikini top^Fabric: Recycled Polyester Elastane^Shape: Triangle Halter^Coverage: Small coverage^Support: Low^Padding: Removable^Straps: Halter adjustable with tie back;251
UVJX400158;BLQ0;FLEUR MEDIUM FRENCH;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjx400158_blq0.png;Produce Type: Bikini bottom^Fabric:Recycled Nylon^Coverage: Medium coverage;251
UVJX400161;WPW;BLURRED DITSY MEDIUM FRENCH;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjx400161_wpw.png;Product Type: Fabric:Recycled Polyester Textured swim^Coverage: Medium coverage;251
UVJZT00281;BEY0;SUNSET CUFFED TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00281_bey0.png;Product Type: Tee^Fabric: 100% Organic Cotton^Weight:160gsm^Wash: Solid dye, No wash^Fit: Classic^Neck: Round neck^Graphic:Front and Back screenprint;251
UVJZT00282;GZE0;TROPHY CUFFED TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00282_gze0.png;Product Type: Tee^Fabric: 100% Cotton^Weight:200gsm^Wash: Solid dye, No wash^Fit: Classic^Neck: Round neck^Graphic:Front and Back screenprint;251
UVJZT00283;WHT;GOOD THINGS ONLY EASY TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00283_wht.png;Product Type: Tee^Fabric: 100% Cotton^Weight:200gsm^Wash: Solid dye, No wash^Fit: Relaxed^Neck: Round neck^Graphic:Front screen print^Branded label inserted into the side seam at hem edge;251
UVJZT00284;GNB0;VIPER EASY TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00284_gnb0.png;Product Type: Tee^Fabric: 100% Cotton^Weight:200gsm^Fit: Relaxed^Neck: Round neck^Graphic:Front screen print^Branded label inserted into the side seam at hem edge^Wash:Heavy garment wash;251
UVJZT00285;KTA0;GLOBAL RVCA EASY TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00285_kta0.png;Product Type: Tee^Fabric: 100% Cotton^Weight:200gsm^Fit: Relaxed^Neck: Round neck^Graphic:Front screen print^Branded label inserted into the side seam at hem edge^Wash: Heavy garment wash;251
UVJZT00286;KTA0;RACE DAY EASY TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00286_kta0.png;Product Type: Tee^Fabric: 100% Cotton^Weight:200gsm^Fit: Relaxed^Neck: Round neck^Graphic:Front screen print^Branded label inserted into the side seam at hem edge^Wash:  Heavy garment wash;251
UVJZT00288;CQK0;JUPITER HALF TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00288_cqk0.png;Product Type: Tee^Fabric: 100% Cotton^Weight:200gsm^Wash: Solid dye, Heavy enzyme wash^Fit: Relaxed^Neck: Round neck^Graphic:Front and back print;251
UVJZT00289;WZA0;DOME SHRUNKEN RAGLAN TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00289_wza0.png;Sleeves:Short Sleeve^Wash: Solid dye, No wash^Fabric:100% Cotton 200GSM^Fit:Shrunken ^Neck:Crew neck^Raglan sleeve^Graphic Screen print on front;251
UVJZT00295;KVC0;BENJ RELAXED TEE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvjzt00295_kvc0.png;Product Type: Tee^Fabric: 100% Organic Cotton^Weight:200gsm^Wash: Solid dye, No wash^Fit: Relaxed^Neck: Round neck^Graphic:Front and Back screen print^ANP label at hem edge;251
UVYDP03001;ASB;SKATE DENIM;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvydp03001_asb.png;Product type: Denim pant^Fabric: 100% Cotton Denim^Weight:15.2oz^Relaxed fit^27in.^18in^Front scooped pockets.^Back patch pockets^Flat felled finish at outseams.^Belt loops finished into waistband^Vintage wash;251
UVYDS03003;ASB;SKATE DENIM SHORT;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyds03003_asb.png;Product type: Denim Short^Weight:15.2oz^Relaxed fit.^Faux fly^27in.^22in out seam^Front scooped pockets.^Back patch pockets^Flat felled finish at out seams.^Belt loops finished into waistband^100% Cotton denim with vintage wash;251
UVYFT00328;GNB0;GLOBAL RVCA CREW;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyft00328_gnb0.png;Product Type: Fleece Crew^Fabric:100% Cotton Top Dry French Terry 350g^Wash: Solid dye, Enzyme wash^Fit: Regular fit^CF print^Sleeve Embroidery;251
UVYFT00333;SJSH;BENJ HOODIE;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyft00333_sjsh.png;Product Type: Hooded Fleece^Fabric: 80% Cotton 20% 300g Polyester, Brushed Fleece^Wash: Solid dye, No wash^Fit: Relaxed fit^Pockets: Front welt pockets^CF and CB prints;251
UVYFT00334;WZA0;BENJ HALF ZIP COLLARED CREW;https://s3.amazonaws.com/images.boardriders.com/bi/rvca/large/uvyft00334_wza0.png;Product Type: Half Zip Fleece^Fabric:100% Cotton Top Dry French Terry 350g^Wash: Garment wash w/ softener^Fit: Relaxed fit^Left Chest Embroidery^ANP Trims;251
