style;color;division;gender;age;category;parent_type;subtype;activity_use;sustainability
24a353511;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353512;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353513;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353514;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353515;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353516;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353517;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353518;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353519;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353521;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353522;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353523;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353527;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353573;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353574;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a353576;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a363503;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a411507;blk;billabong;men;adult;clothing;pullover;fleece;casual;
24a413503;blk;billabong;men;adult;clothing;pullover;fleece;casual;recycled
24a413504;blk;billabong;men;adult;clothing;pullover;fleece;casual;recycled
24a413505;blk;billabong;men;adult;clothing;pullover;hoodie;casual;
24a413506;blk;billabong;men;adult;clothing;fleece_polar;hoodie;casual;
24a433590;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a433592;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a433594;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a462503;blk;billabong;men;adult;clothing;pullover;crew;casual;
24a463504;blk;billabong;men;adult;clothing;fleece_polar;fleece;casual;
24a481502;blk;billabong;men;adult;clothing;pullover;full_zip;casual;recycled
24a503501;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a503503;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a503505;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a503506;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a503507;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a523501;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a523502;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a523503;blk;billabong;men;adult;clothing;t-shirt;crew;casual;
24a551501;blk;billabong;men;adult;accessories;cap;trucker;active;
24a551506;blk;billabong;men;adult;accessories;cap;trucker;active;
24a551511;blk;billabong;men;adult;accessories;cap;snapback;active;
24a551512;blk;billabong;men;adult;accessories;cap;strapback;active;
24a553503;blk;billabong;men;adult;accessories;cap;strapback;active;
24a553504;blk;billabong;men;adult;accessories;cap;trucker;active;
24a583504;blk;billabong;men;adult;accessories;beanie;cuff;snow;
24aw191501;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw191502;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193501;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193502;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193512;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193516;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193525;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw193526;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw211500;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw211502;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw211503;blk;billabong;men;adult;surf;wetsuit;fullsuit;surf;
24aw251500;blk;billabong;men;adult;surf;wetsuit;springsuit;surf;
24b013504;blk;billabong;women;adult;clothing;top;crew;casual;
24b023504;blk;billabong;women;adult;clothing;tank;crew;casual;
24b043502;blk;billabong;women;adult;clothing;top;denim;casual;
24b043572;blk;billabong;women;adult;clothing;shirt;button_up;casual;
24b053501;blk;billabong;women;adult;clothing;shirt;button_up;casual;
24b053502;blk;billabong;women;adult;clothing;shirt;button_up;casual;
