style;division;gender;category;parent_type;subtype_1;subtype_2;subtype_3;subtype_4;activity_use_1;activity_use_2;activity_use_3;age;sustainability_1;sustainability_2;sustainability_3;sustainability_certification;fabric_main_1;fabric_main_2;fabric_main_3;fabric_main_4;fabric_main_5;fabric_subtype;lining_1;lining_2;lining_3;filling;padding_material;technology_1;technology_2;technology_3;technology_4;technology_5;technology_6;prod_collection;size;dimension_height;dimension_length;dimension_width;volume;backpack_size;number_pocket_bag;straps_1;straps_2;straps_3;straps_4;straps_5;visor;lens_tint_1;lens_tint_2;fit_1;fit_2;fit_3;sleeve_length;leg_length;closure;waist;pocket_1;pocket_2;pocket_3;pocket_4;pocket_5;pocket_6;pocket_7;dress_length;hood;neck;reversible;denim_wash;print;footwear_height;outsole;insole;sole_type;top_shape_1;top_shape_2;top_shape_3;top_shape_4;top_shape_5;bottom_shape_1;bottom_shape_2;bottom_shape_3;bottom_shape_4;coverage_1;coverage_2;bra_impact;padding;uv_protection;wetsuit_type;thickness;water-temp;wetsuit_technology_1;wetsuit_technology_2;wetsuit_technology_3;wetsuit_seam_1;wetsuit_seam_2;wetsuit-entry;snow_activity;flex_rating;rocker;insulation_level;insulation_technology;waterproofing_level;waterproofing_technology;Lumina Comments
ELBFT00138;element;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELYFT00189;element;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELYFT00191;element;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELYSF00275;element;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;relax;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELYSF00278;element;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELJFT00121;element;women;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADYSF03149;dcshoes;men;clothing;sweatshirt;;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;lineguide;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;no_hood;crew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04005;roxy;girls;clothing;sweatshirt;hoodie;;;;casual;;;4-16_years;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBBFT00116;billabong;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBBFT00117;billabong;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBBFT00118;billabong;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBBSF00127;billabong;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBBSF00128;billabong;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADBSF03056;dcshoes;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADBSF03057;dcshoes;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADBSF03058;dcshoes;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADBSF03060;dcshoes;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADBSF03061;dcshoes;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDBSF03118;dcshoes;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELBFT00135;element;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELBFT00140;element;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELBFT00141;element;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELBFT00142;element;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;regular;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYFT00132;billabong;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYFT00133;billabong;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYFT00135;billabong;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYSF00163;billabong;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYSF00164;billabong;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;adventure_division;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBYSF00165;billabong;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;recycled;;;;4-way_stretch;cotton_blend;polyester;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADYSF03143;dcshoes;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADYSF03144;dcshoes;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADYSF03145;dcshoes;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADYSF03146;dcshoes;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADYSF03147;dcshoes;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;workwear_capsule;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDYSF03245;dcshoes;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;lineguide;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDYSF03246;dcshoes;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDYSF03247;dcshoes;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELYFT00198;element;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELYFT00199;element;men;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;mainline;;;;;;;;;;;;;;;;regular;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBJSF00179;billabong;women;clothing;sweatshirt;hoodie;;;;casual;;;adult;recycled;;;;cotton_blend;polyester;;;;;;;;;;;;;;;;core;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQBFT03924;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQBFT03925;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;;;;;cotton;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQBFT03926;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;;;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;comfort;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQBFT03927;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;;;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQBFT03944;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;;;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQKFT03397;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;2-7_years;;;;;cotton;polyester;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;comfort ;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQKFT03400;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;2-7_years;;;;;cotton;polyester;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05056;quiksilver;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05091;quiksilver;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQBFT03928;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;organic;recycled;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQBFT03931;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;organic;recycled;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;global_heat;;;;;;;;;;;;;;;;oversized;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQBFT03932;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;8-16_years;organic;recycled;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;global_heat;;;;;;;;;;;;;;;;oversized;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQKFT03396;quiksilver;boys;clothing;sweatshirt;hoodie;fleece;;;casual;;;2-7_years;organic;recycled;;;cotton;polyester;;;;french_terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04007;roxy;girls;clothing;sweatshirt;hoodie;;;;casual;;;4-16_years;;;;;cotton;polyester;;;;terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERGFT04016;roxy;girls;clothing;sweatshirt;hoodie;fleece;;;casual;;;4-16_years;;;;;cotton;polyester;;;;terry_fleece;;;;;;;;;;;;injection_ecom;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDYFT03549;dcshoes;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;standard ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05049;quiksilver;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;yarn_dye;;;;;;;;;;;;;;;;;;;;;;;;;;;;comfort ;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05053;quiksilver;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05054;quiksilver;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;oversized;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05086;quiksilver;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;french_terry;jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EQYFT05087;quiksilver;men;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;french_terry;jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04655;roxy;women;clothing;sweatshirt;hoodie;fleece;;;casual;snow;;adult;;;;;cotton;polyester;;;;terry_fleece;;;;;;warmflight;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04664;roxy;women;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;terry_fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04665;roxy;women;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;terry_fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04952;roxy;women;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;terry_fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04953;roxy;women;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;terry_fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04955;roxy;women;clothing;sweatshirt;hoodie;;;;casual;;;adult;;;;;cotton;polyester;;;;terry;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04956;roxy;women;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;terry_fleece;;;;;;;;;;;;;;;;;;;;;;;;;;;;regular;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04980;roxy;women;clothing;sweatshirt;hoodie;fleece;;;casual;;;adult;;;;;cotton;polyester;;;;terry_fleece;;;;;;;;;;;;injection_ecom;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04981;roxy;women;clothing;sweatshirt;hoodie;;;;casual;;;adult;;;;;cotton;polyester;;;;terry;;;;;;;;;;;;injection_ecom;;;;;;;;;;;;;;;;relax;;;long_sleeve;;full_zip;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04996;roxy;women;clothing;sweatshirt;hoodie;;;;casual;;;adult;;;;;cotton;polyester;;;;;;;;;;;;;;;;sportline;;;;;;;;;;;;;;;;;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJKT04280;roxy;women;clothing;sweatshirt;hoodie;;;;casual;beach;;adult;;;;;stretch_polyester;viscose;;;;knit;;;;;;;;;;;;;;;;;;;;;;;;;;;;oversized;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;no_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERJFT04957;roxy;women;clothing;sweatshirt;hoodie;;;;casual;;;adult;;;;;stretch_modal;polyester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;relax;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ELBSF00180;element;boys;clothing;sweatshirt;hoodie;;;;casual;;;8-16_years;recycled;;;;cotton_blend;;;;;french_terry;;;;;;;;;;;;element_x_smokey_bear;;;;;;;;;;;;;;;;regular;;;long_sleeve;;pull_through;;pouch_pocket;;;;;;;;fixed_hood;hood ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
