pattern;color;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20
edybp03178;wbb0;dcshoes;edybp03178_dcshoes,p_wbb0_frt1.jpg;edybp03178_dcshoes,p_wbb0_frt2.jpg;edybp03178_dcshoes,p_wbb0_bck1.jpg;edybp03178_dcshoes,p_wbb0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03179;btl0;dcshoes;edybp03179_dcshoes,p_btl0_frt1.jpg;edybp03179_dcshoes,p_btl0_frt2.jpg;edybp03179_dcshoes,p_btl0_bck1.jpg;edybp03179_dcshoes,p_btl0_bck2.jpg;edybp03179_dcshoes,p_btl0_bck3.jpg;;;;;;;;;;;;;;;
edybp03179;grr0;dcshoes;edybp03179_dcshoes,p_grr0_frt1.jpg;edybp03179_dcshoes,p_grr0_frt2.jpg;edybp03179_dcshoes,p_grr0_bck1.jpg;edybp03179_dcshoes,p_grr0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03179;kvj0;dcshoes;edybp03179_dcshoes,p_kvj0_frt1.jpg;edybp03179_dcshoes,p_kvj0_frt2.jpg;edybp03179_dcshoes,p_kvj0_bck1.jpg;edybp03179_dcshoes,p_kvj0_bck2.jpg;edybp03179_dcshoes,p_kvj0_bck3.jpg;;;;;;;;;;;;;;;
edybp03179;rqr0;dcshoes;edybp03179_dcshoes,p_rqr0_frt1.jpg;edybp03179_dcshoes,p_rqr0_frt2.jpg;edybp03179_dcshoes,p_rqr0_bck1.jpg;edybp03179_dcshoes,p_rqr0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03180;kvj0;dcshoes;edybp03180_dcshoes,p_kvj0_frt1.jpg;edybp03180_dcshoes,p_kvj0_frt2.jpg;edybp03180_dcshoes,p_kvj0_bck1.jpg;edybp03180_dcshoes,p_kvj0_bck2.jpg;edybp03180_dcshoes,p_kvj0_bck3.jpg;;;;;;;;;;;;;;;
edybp03181;btl0;dcshoes;edybp03181_dcshoes,p_btl0_frt1.jpg;edybp03181_dcshoes,p_btl0_frt2.jpg;edybp03181_dcshoes,p_btl0_bck1.jpg;edybp03181_dcshoes,p_btl0_bck2.jpg;edybp03181_dcshoes,p_btl0_bck3.jpg;;;;;;;;;;;;;;;
edybp03189;btl0;dcshoes;edybp03189_chalkers,p_btl0_frt1.jpg;;;;;;;;;;;;;;;;;;;
edybp03189;crb0;dcshoes;edybp03189_chalkers,p_crb0_frt1.jpg;edybp03189_chalkers,p_crb0_frt2.jpg;edybp03189_chalkers,p_crb0_frt3.jpg;edybp03189_chalkers,p_crb0_frt4.jpg;edybp03189_chalkers,p_crb0_bck1.jpg;;;;;;;;;;;;;;;
edybp03189;kvj0;dcshoes;edybp03189_dcshoes,p_kvj0_frt1.jpg;edybp03189_dcshoes,p_kvj0_frt2.jpg;edybp03189_dcshoes,p_kvj0_bck1.jpg;edybp03189_dcshoes,p_kvj0_bck2.jpg;edybp03189_dcshoes,p_kvj0_bck3.jpg;edybp03189_dcshoes,p_kvj0_bck4.jpg;;;;;;;;;;;;;;
edybp03189;rqr0;dcshoes;edybp03189_dcshoes,p_rqr0_frt1.jpg;edybp03189_dcshoes,p_rqr0_frt2.jpg;edybp03189_dcshoes,p_rqr0_bck1.jpg;edybp03189_dcshoes,p_rqr0_bck2.jpg;edybp03189_dcshoes,p_rqr0_bck3.jpg;edybp03189_dcshoes,p_rqr0_bck4.jpg;;;;;;;;;;;;;;
edybp03189;rrp6;dcshoes;edybp03189_dcshoes,p_rrp6_frt1.jpg;edybp03189_dcshoes,p_rrp6_bck1.jpg;;;;;;;;;;;;;;;;;;
edybp03191;bqr0;dcshoes;edybp03191_dcshoes,p_bqr0_frt1.jpg;edybp03191_dcshoes,p_bqr0_frt2.jpg;edybp03191_dcshoes,p_bqr0_bck1.jpg;edybp03191_dcshoes,p_bqr0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03202;bls0;dcshoes;edybp03202_backsidercb,p_bls0_frt1.jpg;edybp03202_backsidercb,p_bls0_frt2.jpg;edybp03202_backsidercb,p_bls0_frt3.jpg;edybp03202_backsidercb,p_bls0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03202;bqr0;dcshoes;edybp03202_backsidercb,p_bqr0_frt1.jpg;edybp03202_backsidercb,p_bqr0_frt2.jpg;edybp03202_backsidercb,p_bqr0_frt3.jpg;edybp03202_backsidercb,p_bqr0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03202;btl0;dcshoes;edybp03202_backsidercb,p_btl0_frt1.jpg;edybp03202_backsidercb,p_btl0_frt2.jpg;edybp03202_backsidercb,p_btl0_frt3.jpg;edybp03202_backsidercb,p_btl0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03202;byj0;dcshoes;edybp03202_dcshoes,p_byj0_frt1.jpg;edybp03202_dcshoes,p_byj0_frt2.jpg;edybp03202_dcshoes,p_byj0_frt5.jpg;edybp03202_dcshoes,p_byj0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03202;crb0;dcshoes;edybp03202_backsidercb,p_crb0_frt1.jpg;edybp03202_backsidercb,p_crb0_frt2.jpg;edybp03202_backsidercb,p_crb0_frt3.jpg;edybp03202_backsidercb,p_crb0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03202;crs0;dcshoes;edybp03202_backsidercb,p_crs0_frt1.jpg;edybp03202_backsidercb,p_crs0_frt2.jpg;edybp03202_backsidercb,p_crs0_bck1.jpg;edybp03202_backsidercb,p_crs0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03202;gss0;dcshoes;edybp03202_dcshoes,p_gss0_frt1.jpg;edybp03202_dcshoes,p_gss0_frt2.jpg;edybp03202_dcshoes,p_gss0_frt5.jpg;edybp03202_dcshoes,p_gss0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03202;knfh;dcshoes;edybp03202_dcshoes,p_knfh_frt1.jpg;edybp03202_dcshoes,p_knfh_frt2.jpg;edybp03202_dcshoes,p_knfh_frt5.jpg;edybp03202_dcshoes,p_knfh_bck1.jpg;;;;;;;;;;;;;;;;
edybp03202;krp0;dcshoes;edybp03202_backsidercb,p_krp0_frt1.jpg;edybp03202_backsidercb,p_krp0_frt2.jpg;edybp03202_backsidercb,p_krp0_frt3.jpg;edybp03202_backsidercb,p_krp0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03202;kvj0;dcshoes;edybp03202_dcshoes,p_kvj0_frt1.jpg;edybp03202_dcshoes,p_kvj0_frt2.jpg;edybp03202_dcshoes,p_kvj0_frt5.jpg;edybp03202_dcshoes,p_kvj0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03203;gra0;dcshoes;edybp03203_backsiderprint,p_gra0_frt1.jpg;edybp03203_backsiderprint,p_gra0_frt2.jpg;edybp03203_backsiderprint,p_gra0_frt3.jpg;edybp03203_backsiderprint,p_gra0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03203;rrp6;dcshoes;edybp03203_dcshoes,p_rrp6_frt1.jpg;edybp03203_dcshoes,p_rrp6_bck1.jpg;;;;;;;;;;;;;;;;;;
edybp03204;rrp6;dcshoes;edybp03204_dcshoes,p_rrp6_frt1.jpg;edybp03204_dcshoes,p_rrp6_bck1.jpg;;;;;;;;;;;;;;;;;;
edybp03206;kteh;dcshoes;edybp03206_dcshoes,p_kteh_frt1.jpg;edybp03206_dcshoes,p_kteh_frt2.jpg;edybp03206_dcshoes,p_kteh_bck1.jpg;edybp03206_dcshoes,p_kteh_bck2.jpg;;;;;;;;;;;;;;;;
edybp03206;kvj0;dcshoes;edybp03206_dcshoes,p_kvj0_frt1.jpg;edybp03206_dcshoes,p_kvj0_frt2.jpg;edybp03206_dcshoes,p_kvj0_bck1.jpg;edybp03206_dcshoes,p_kvj0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03210;xrwr;dcshoes;edybp03210_dcshoes,p_xrwr_frt1.jpg;edybp03210_dcshoes,p_xrwr_frt2.jpg;edybp03210_dcshoes,p_xrwr_bck1.jpg;edybp03210_dcshoes,p_xrwr_bck2.jpg;edybp03210_dcshoes,p_xrwr_bck3.jpg;;;;;;;;;;;;;;;
edybp03214;knfh;dcshoes;edybp03214_dcshoes,p_knfh_frt1.jpg;edybp03214_dcshoes,p_knfh_frt2.jpg;edybp03214_dcshoes,p_knfh_bck1.jpg;edybp03214_dcshoes,p_knfh_bck2.jpg;;;;;;;;;;;;;;;;
edybp03214;kvj0;dcshoes;edybp03214_dcshoes,p_kvj0_frt1.jpg;edybp03214_dcshoes,p_kvj0_frt2.jpg;edybp03214_dcshoes,p_kvj0_bck1.jpg;edybp03214_dcshoes,p_kvj0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03231;kvj0;dcshoes;edybp03231_bumper,p_kvj0_frt1.jpg;edybp03231_bumper,p_kvj0_frt2.jpg;edybp03231_bumper,p_kvj0_frt3.jpg;edybp03231_bumper,p_kvj0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03231;rqr0;dcshoes;edybp03231_bumper,p_rqr0_frt1.jpg;edybp03231_bumper,p_rqr0_frt2.jpg;edybp03231_bumper,p_rqr0_frt3.jpg;edybp03231_bumper,p_rqr0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03233;bqr0;dcshoes;edybp03233_slickers,p_bqr0_frt1.jpg;edybp03233_slickers,p_bqr0_frt2.jpg;edybp03233_slickers,p_bqr0_frt3.jpg;edybp03233_slickers,p_bqr0_frt4.jpg;edybp03233_slickers,p_bqr0_frt5.jpg;edybp03233_slickers,p_bqr0_bck1.jpg;;;;;;;;;;;;;;
edybp03233;gra0;dcshoes;edybp03233_slickers,p_gra0_frt1.jpg;;;;;;;;;;;;;;;;;;;
edybp03241;brm0;dcshoes;edybp03241_dcshoes,p_brm0_frt1.jpg;;;;;;;;;;;;;;;;;;;
edybp03241;knfh;dcshoes;edybp03241_dcshoes,p_knfh_frt1.jpg;;;;;;;;;;;;;;;;;;;
edybp03241;kvj0;dcshoes;edybp03241_dcshoes,p_kvj0_frt1.jpg;edybp03241_dcshoes,p_kvj0_bck1.jpg;;;;;;;;;;;;;;;;;;
edybp03241;rqr0;dcshoes;edybp03241_dcshoes,p_rqr0_frt1.jpg;;;;;;;;;;;;;;;;;;;
edybp03260;bqs0;dcshoes;edybp03260_dcshoes,p_bqs0_frt1.jpg;edybp03260_dcshoes,p_bqs0_frt2.jpg;edybp03260_dcshoes,p_bqs0_bck1.jpg;edybp03260_dcshoes,p_bqs0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03260;crb0;dcshoes;edybp03260_dcshoes,p_crb0_frt1.jpg;edybp03260_dcshoes,p_crb0_frt2.jpg;edybp03260_dcshoes,p_crb0_bck1.jpg;edybp03260_dcshoes,p_crb0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03260;kvj0;dcshoes;edybp03260_dcshoes,p_kvj0_frt1.jpg;edybp03260_dcshoes,p_kvj0_frt2.jpg;edybp03260_dcshoes,p_kvj0_bck1.jpg;edybp03260_dcshoes,p_kvj0_bck2.jpg;;;;;;;;;;;;;;;;
edybp03264;crb0;dcshoes;edybp03264_dcshoes,p_crb0_frt1.jpg;edybp03264_dcshoes,p_crb0_frt2.jpg;edybp03264_dcshoes,p_crb0_frt3.jpg;edybp03264_dcshoes,p_crb0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03264;knfh;dcshoes;edybp03264_dcshoes,p_knfh_frt1.jpg;edybp03264_dcshoes,p_knfh_frt2.jpg;edybp03264_dcshoes,p_knfh_frt3.jpg;edybp03264_dcshoes,p_knfh_bck1.jpg;;;;;;;;;;;;;;;;
edybp03264;kvj0;dcshoes;edybp03264_dcshoes,p_kvj0_frt1.jpg;edybp03264_dcshoes,p_kvj0_frt2.jpg;edybp03264_dcshoes,p_kvj0_frt3.jpg;edybp03264_dcshoes,p_kvj0_bck1.jpg;;;;;;;;;;;;;;;;
edybp03273;knfh;dcshoes;edybp03273_dcshoes,p_knfh_frt1.jpg;edybp03273_dcshoes,p_knfh_bck1.jpg;edybp03273_dcshoes,p_knfh_sd1.jpg;edybp03273_dcshoes,p_knfh_dtl1.jpg;edybp03273_dcshoes,p_knfh_dtl2.jpg;;;;;;;;;;;;;;;
